chapter,title,env,source_type,source_path,image_count
chapter1,命题1.11证明,proof,md,近世代数/近世代数/无标题/命题1 11证明 1cbd2efa3f4280679acbe2813bc3b4e4.md,1
chapter1,命题1.12特殊线性群是群,proposition,md,近世代数/近世代数/无标题/命题1 12特殊线性群是群 1cbd2efa3f4280bc9d1cfc2496d61576.md,1
chapter1,命题1.13群同态单位元对单位元逆元对逆元,proposition,md,近世代数/近世代数/无标题/命题1 13群同态单位元对单位元逆元对逆元 1cbd2efa3f4280048341d86cd285853a.md,1
chapter1,命题1.14,proposition,md,近世代数/近世代数/无标题/命题1 14 1cbd2efa3f4280569ab4d1fcc291e1bc.md,1
chapter1,命题1.17同态就是拆括号的游戏,proposition,md,近世代数/近世代数/无标题/命题1 17同态就是拆括号的游戏 1d1d2efa3f42800d9bf2efcc79be14a6.md,1
chapter1,命题1.3.3子群陪集要不然相等要不然无交,proposition,md,近世代数/近世代数/无标题/命题1 3 3子群陪集要不然相等要不然无交 1d2d2efa3f42806da9c1eaa41dc2aa66.md,2
chapter1,命题1.34 1.35嵌套子群的配集,proposition,md,近世代数/近世代数/无标题/命题1 34 1 35嵌套子群的配集 1d2d2efa3f428089be3ecd9b4c4dbf6c.md,1
chapter1,命题1.36良定义,proposition,md,近世代数/近世代数/无标题/命题1 36良定义 1d8d2efa3f4280f894b7ef35415e3855.md,1
chapter1,命题1.37 商群,proposition,md,近世代数/近世代数/无标题/命题1 37 商群 1d8d2efa3f4280a2ab8bc71b5decdd72.md,1
chapter1,命题1.38正规子群的交集还是正规子群,proposition,md,近世代数/近世代数/无标题/命题1 38正规子群的交集还是正规子群 1d8d2efa3f428001ba66de6c2e2fde67.md,1
chapter1,命题1.39 1.40e和自己都是自己的正规子群交换群的子群都是正规子群,proposition,md,近世代数/近世代数/无标题/命题1 39 1 40e和自己都是自己的正规子群交换群的子群都是正规子群 1d8d2efa3f4280beb4f3c1126c211d2b.md,0
chapter1,命题1.5证明A生成的子幺半群是包含A的最小子幺半群,proof,md,近世代数/近世代数/无标题/命题1 5证明A生成的子幺半群是包含A的最小子幺半群 1cad2efa3f4280d7aeccdd9429149cb4.md,1
chapter1,命题1.7证明方法把单位元拆解然后用结合律引出新的东西唯一性证明,proof,md,近世代数/近世代数/无标题/命题1 7证明方法把单位元拆解然后用结合律引出新的东西唯一性证明 1cbd2efa3f428061b991eda66a78e31d.md,1
chapter1,商群性质,note,md,近世代数/近世代数/无标题/商群性质 1cad2efa3f42800d9fd2d13889aa2844.md,1
chapter1,子群,note,md,近世代数/近世代数/无标题/子群 1bdd2efa3f42801b985de1cf59e5ed5f.md,3
chapter1,子群的阶定义拉格朗日定理,theorem,md,近世代数/近世代数/无标题/子群的阶定义拉格朗日定理 1d2d2efa3f4280abb951d3f9b92ef54b.md,1
chapter1,子群的陪集,note,md,近世代数/近世代数/无标题/子群的陪集 1c3d2efa3f42806a85b0f0113028b207.md,0
chapter1,子群里面的元素当陪集的x，则这个配集还是原来子群xH=H,note,md,近世代数/近世代数/无标题/子群里面的元素当陪集的x，则这个配集还是原来子群xH=H 1d2d2efa3f4280d29dd3d8346705ba89.md,1
chapter1,学子群的意义,note,md,近世代数/近世代数/无标题/学子群的意义 1c6d2efa3f428082a2a0c319d06b2a4e.md,1
chapter1,定义1.11n阶一般线性群,definition,md,近世代数/近世代数/无标题/定义1 11n阶一般线性群 1cbd2efa3f4280dda90ce3802a0d1200.md,2
chapter1,定义1.12n阶特殊线性群行列式是1,definition,md,近世代数/近世代数/无标题/定义1 12n阶特殊线性群行列式是1 1cbd2efa3f42805e8f6be357d2dce70f.md,1
chapter1,定义1.13定义子群根本目的是证明它是一个群,proof,md,近世代数/近世代数/无标题/定义1 13定义子群根本目的是证明它是一个群 1cbd2efa3f4280ee903ac1e652f44dec.md,1
chapter1,定义1.15群同态下定义 核是映射到e‘的原像集 imf是像集,definition,md,近世代数/近世代数/无标题/定义1 15群同态下定义 核是映射到e‘的原像集 imf是像集 1d1d2efa3f42808daa56cdc3a30925f6.md,3
chapter1,定义1.16群同态,definition,md,近世代数/近世代数/无标题/定义1 16群同态 1d1d2efa3f4280dfbb71fb6ae82fca39.md,3
chapter1,定义1.18两个群直积还是群,definition,md,近世代数/近世代数/无标题/定义1 18两个群直积还是群 1d1d2efa3f4280189fb9c52e96214d0c.md,2
chapter1,定义1.19一族群的值积 定义1.20还需再看,definition,md,近世代数/近世代数/无标题/定义1 19一族群的值积 定义1 20还需再看 1d1d2efa3f4280bbb5e6c6260092ce70.md,2
chapter1,定义1.2.4子集生成群证明,proof,md,近世代数/近世代数/无标题/定义1 2 4子集生成群证明 1d1d2efa3f42805fa62fd5a0548e8041.md,1
chapter1,定义1.20元素的阶,definition,md,近世代数/近世代数/无标题/定义1 20元素的阶 1afd2efa3f42804abe31e7c2129a941d.md,1
chapter1,定义1.22 x的幂,definition,md,近世代数/近世代数/无标题/定义1 22 x的幂 1d1d2efa3f42801fbf26e402d99d9fbb.md,2
chapter1,定义1.23由x生成子群,definition,md,近世代数/近世代数/无标题/定义1 23由x生成子群 1d1d2efa3f428063a543c4b613e77eac.md,2
chapter1,定义1.28商集与指数,definition,md,近世代数/近世代数/无标题/定义1 28商集与指数 1d2d2efa3f4280779550ef45dc732f24.md,1
chapter1,定义1.29正规子群,definition,md,近世代数/近世代数/无标题/定义1 29正规子群 1d2d2efa3f428009a478d7345a44f7a0.md,2
chapter1,定义1.3群中的幂,definition,md,近世代数/近世代数/无标题/定义1 3群中的幂 1cad2efa3f4280fa8cbac5abca50f603.md,1
chapter1,定义1.4幺半群的子群还是幺半群,definition,md,近世代数/近世代数/无标题/定义1 4幺半群的子群还是幺半群 1cad2efa3f4280a186e5ff06d952436b.md,1
chapter1,定义1.5幺半群的同态,definition,md,近世代数/近世代数/无标题/定义1 5幺半群的同态 1cad2efa3f4280878f7ace8395a0a565.md,1
chapter1,定义1.6由子集生成的自幺半群,definition,md,近世代数/近世代数/无标题/定义1 6由子集生成的自幺半群 1cad2efa3f4280c8b8e4ca2c6bd26b3d.md,1
